eq,cry,deff,wd,ann,pos,ann_is,pos_is,ann_oos,pos_oos
0.61,0.28,0.07,0.04,0.1190924309529015,0.7264957264957265,0.1573806817744473,0.75,0.18955673293118985,0.6888888888888889
0.59,0.27,0.07,0.07,0.12177578750432493,0.717948717948718,0.16222439632519808,0.7361111111111112,0.19268215156773152,0.6888888888888889
0.61,0.28,0.11,0.0,0.11165334856789688,0.7435897435897436,0.14271477826535123,0.75,0.1847949483791512,0.7333333333333333
0.59,0.27,0.11,0.04,0.1173574745811039,0.7435897435897436,0.15449188304387645,0.7361111111111112,0.18756920808736977,0.7555555555555555
0.57,0.26,0.1,0.07,0.12050363021384353,0.7350427350427351,0.16052093132361928,0.7361111111111112,0.19037034125175026,0.7333333333333333
0.59,0.27,0.14,0.0,0.1103763532160266,0.7350427350427351,0.1407354851447284,0.7222222222222222,0.18317925694024967,0.7555555555555555
0.57,0.26,0.14,0.03,0.11438916043221813,0.7435897435897436,0.1488199764988021,0.7361111111111112,0.18573964664651027,0.7555555555555555
0.55,0.25,0.13,0.07,0.11710456364713293,0.7521367521367521,0.15415160759534752,0.75,0.1880112556862992,0.7555555555555555
0.6,0.32,0.07,0.0,0.11789455644088248,0.7264957264957265,0.1535940011080333,0.75,0.19062853322240364,0.6888888888888889
0.58,0.31,0.07,0.04,0.12172368573274915,0.7264957264957265,0.16103778711533676,0.75,0.19376237955344008,0.6888888888888889
0.56,0.3,0.07,0.07,0.12370972312918897,0.7264957264957265,0.16564175232672967,0.75,0.19480793141035502,0.6888888888888889
0.58,0.31,0.11,0.0,0.11453206366463492,0.7350427350427351,0.14707907043369525,0.7361111111111112,0.18872610023322584,0.7333333333333333
0.56,0.3,0.1,0.03,0.11999442200517028,0.7521367521367521,0.15827461420197514,0.7638888888888888,0.19158238700951605,0.7333333333333333
0.54,0.29,0.1,0.07,0.12227524329706599,0.7435897435897436,0.16366352893365918,0.75,0.19235163165619917,0.7333333333333333
0.56,0.3,0.14,0.0,0.11369064440363459,0.7521367521367521,0.14641068562596554,0.75,0.18660545484884117,0.7555555555555555
0.54,0.29,0.13,0.03,0.11755721741669253,0.7606837606837606,0.15424574514711276,0.7638888888888888,0.18905724074448182,0.7555555555555555
0.52,0.28,0.13,0.06,0.12049898606882875,0.7350427350427351,0.15934128887088664,0.7361111111111112,0.19254701630554272,0.7333333333333333
