,ret_gross,ret_net,cost,gross_exposure,turnover,nav_gross,nav_net
2019-03-14,0.0012511992432045719,0.0011571219328590818,9.407731034549e-05,0.9924568185980845,0.3100689963506018,0.9870925548692637,0.982933795501809
2019-03-15,0.0030178296252422712,0.003016524613359647,1.3050118826244082e-06,0.9927716868005427,0.005879695989785847,0.9900714320242043,0.9858988394892432
2019-03-16,0.00018764263059618014,0.00018750755649303043,1.3507410314970874e-07,0.9928313445959118,5.965779536895675e-05,0.9902572116321875,0.9860837029715851
2019-03-17,0.00027885013770458404,0.00027130174464228945,7.548393062294588e-06,0.9930568055425261,0.0037319009866714076,0.9905333449920142,0.9863512292005646
2019-03-18,0.0007237069504625763,0.0007200525233595932,3.6544271029831032e-06,0.9936093738386547,0.0094166355093061,0.99125020085845,0.9870614538920692
2019-03-19,0.002653311957348527,0.002652637099343042,6.748580054851314e-07,0.9936739394955239,0.0021879892275400163,0.993880296869112,0.9896797697239947
2019-03-20,0.0030827662796864106,0.003079593265077004,3.1730146094065185e-06,0.9933324094761592,0.008990083595431766,0.9969441975343447,0.9927275808774196
2019-03-21,-0.0008883740928756731,-0.0008970765416141149,8.70244873844179e-06,0.9936038352384845,0.02465941048675409,0.9960585381372125,0.9918370282524012
2019-03-22,0.0077505408691097444,0.007748227565594846,2.3133035148980034e-06,0.9939167829598875,0.007949381094477109,1.0037785305450706,0.9995220072552842
2019-03-23,0.00019277741569645858,0.000192599684028219,1.777316682395893e-07,0.9940013624257026,8.45794658151564e-05,1.0039720363761206,0.9997145148780607
2019-03-24,0.00020238698741680504,0.000179850815786426,2.2536171630379036e-05,0.9941450191486018,0.011396535628178288,1.0041752272520135,0.9998943143491151
2019-03-25,-0.010530037002512925,-0.010533707289000405,3.670286487481176e-06,0.9939268783301092,0.012693642537799265,0.993601224952043,0.9893617203218258
2019-03-26,0.005512568060409761,0.005507091097722399,5.476962687361917e-06,0.9944553048216486,0.019492228981540557,0.9990785193294976,0.9948102254442375
2019-03-27,0.0014056777453334425,0.0013932281151751874,1.2449630158255162e-05,0.9935932437175681,0.03545097369052497,1.00048290176996,0.9961962230195901
2019-03-28,-0.0016089270881190013,-0.0016122828913290753,3.355803210074094e-06,0.9941349576019269,0.01288575818158389,0.9988731977281023,0.994590072892809
2019-03-29,0.004241006201348126,0.004238777790442207,2.22841090591845e-06,0.9942767886141743,0.006980113190492111,1.0031094251540276,0.9988059192043813
2019-03-30,0.00020652771679805843,0.0002064896137668974,3.810303116103591e-08,0.9942560028672462,2.078574692810243e-05,1.0033165950533032,0.9990121622528658
2019-03-31,1.6067005594528845e-05,6.451327719249592e-06,9.615677875279254e-06,0.995739241477391,0.005366844238627371,1.003332715346649,0.99901860720772
2019-04-01,0.004222596170358911,0.004219666493536198,2.929676822712927e-06,0.9958323219910631,0.010494040665741347,1.0075693842280673,1.0032341325509735
2019-04-02,0.00488726892407723,0.004806180164009351,8.108876006787869e-05,0.9947587943480168,0.24495352969796869,1.0124936467684569,1.008055856538697
2019-04-03,0.005924085482221742,0.005914313434180587,9.772048041154651e-06,0.994985659622867,0.03197584573019734,1.0184917456821196,1.0140178148334282
2019-04-04,-0.0018720969785296793,-0.0018740408201334113,1.9438416037320107e-06,0.9953895264063408,0.006256661971052948,1.0165850303623707,1.012117504056088
2019-04-05,0.004360848538947504,0.004358167289334881,2.6812496126228913e-06,0.995884658340534,0.006230808501118924,1.0210182037067423,1.0165284814552284
2019-04-06,0.00045383099175711394,0.00045374997251171545,8.101924539848494e-08,0.9959267418947967,4.208355426265362e-05,1.0214815734107328,1.016989731225746
